,level_0,index,Unnamed: 0,text,rating,time_created,Name,sentiment
271,271,2,2,"I have NEVER been so disrespected by a ""bartender"" in my life! First of all, this blonde woman was CLEARLY intoxicated and targeting the men in the room to...",1,2014-07-17 11:04:47,Brittiany H.,Bad
272,272,0,0,This location is not open and hasn't been in several years.it was inside a city bus station that had a pickup window for  patrons to use late nights on...,1,2019-12-01 02:04:24,James H.,Bad
273,273,0,0,"Decided to stop at this Cambie after having several positive outings at Cambie Higgins location. Unfortunately, this outing was a bit of a disappointment....",3,2021-11-29 18:40:18,Jake B.,Bad
274,274,0,0,"Visiting our family here in Missoula, we decided to have brunch at Scotty's Table. We arrived at 9:20am (10 mins before they opened) We didn't have a...",5,2021-08-08 15:06:23,Jill P.,Good
275,275,1,1,"Our bottomline sentiment for brunch:  they seem to be trying too hard. 

My husband's chicken and waffle sandwich missed the mark on soulfulness needed in...",3,2021-04-25 11:00:35,Courtney K.,Bad
276,276,2,2,"We were excited to eat here as they had a really nice menu. For the most part it didn't disappoint, however the service was super slow and it took forever...",4,2021-06-26 19:52:17,Alma H.,Good
277,277,0,0,"This place used to be good, but the last time I was in, they weren't carding, and so a gaggle of Washingtonians snuck in. First thing, they aren't locals,...",5,2021-06-28 02:51:44,Ted K.,Good
278,278,1,1,"Their apple ginger slaw, the Buffalo cauliflower, the Broadway burger, the cold smoke cheese dip, and the pita & hummus were all delicious. I love having a...",5,2021-01-17 18:56:20,Cassandra S.,Good
279,279,2,2,"Each of their creative taco ideas is delish -- the cauliflower and brisket are my favorites. 

Strangely, it never feels busy in the evenings -- maybe...",4,2018-10-13 08:47:38,H M.,Good
280,280,0,0,"When my husband and I are visiting or relatives, before we go back to Seattle we have breakfast at the Montana Club

This last time we had Eggs Benedict and...",4,2018-12-01 16:01:54,Elaine K.,Good
281,281,1,1,"It's so bad, went for mother's day c came to 124.00 we left hungry, the steaks we're just awful, thin and crummy for 36.00 each and do not get the coconut...",1,2021-06-06 15:53:19,Micheala J.,Bad
282,282,2,2,It's my fault for not reading the reviews first. I ordered in the door dash app and the restaurant was 4.7 out 5 stars there. That's a confounding...,1,2020-04-14 12:29:26,H C.,Bad
283,283,0,0,"This is the best place to get something quick, fresh and healthy. Their bone broth is the best I've ever had. Very flavorful and how you expect bone broth...",5,2021-11-14 06:02:28,Stephanie D.,Good
284,284,1,1,"Basel is a cafe in Missoula serving healthy salads. We stopped here for lunch one day while on a national park road trip, while craving something lighter...",2,2021-09-20 21:40:21,Su L.,Bad
